i	Nodes	Mean	Max	Min	Median	Std	N
1	4	0.0784745216369629	0.0784745216369629	0.0784745216369629	0.0784745216369629	NA	1
2	9	0.151515245437622	0.151515245437622	0.151515245437622	0.151515245437622	NA	1
3	15	0.156605005264282	0.156605005264282	0.156605005264282	0.156605005264282	NA	1
4	16	0.157385230064392	0.159912586212158	0.154857873916626	0.157385230064392	0.00357422134111786	2
5	17	0.185510396957397	0.185510396957397	0.185510396957397	0.185510396957397	NA	1
6	18	0.278892874717712	0.317400455474854	0.240385293960571	0.278892874717712	0.0544579429609262	2
7	19	0.364056491851807	0.936926126480103	0.17821192741394	0.249150276184082	0.322152810988582	5
8	20	0.190715909004211	0.195917844772339	0.185623407363892	0.190661191940308	0.00424434698923115	4
9	21	0.200193802515666	0.241365432739258	0.169491529464722	0.189724445343018	0.0370630553609076	3
10	22	0.252856373786926	0.303155660629272	0.20255708694458	0.252856373786926	0.0711339336301406	2
11	23	0.219740092754364	0.252040386199951	0.183081150054932	0.221919417381287	0.0316446896009437	4
12	24	0.324720995766776	0.81388258934021	0.173386812210083	0.227330446243286	0.222266192253024	7
13	25	0.276541948318481	0.327060222625732	0.247602224349976	0.254963397979736	0.0439046552035073	3
14	26	0.25228124194675	0.322267055511475	0.177043437957764	0.264667510986328	0.0496377990025353	9
15	27	0.515220642089844	1.58048534393311	0.211600065231323	0.287548065185547	0.498866355857597	8
16	28	0.304521369934082	0.378216505050659	0.228551387786865	0.3271324634552	0.0643460848923173	5
17	29	0.270402336120605	0.350313901901245	0.222444772720337	0.245794057846069	0.0540974667006672	5
18	30	0.36999174952507	0.931848287582397	0.239821672439575	0.303701758384705	0.229675188987413	8
19	31	0.436009454727173	1.13974332809448	0.22697114944458	0.304251790046692	0.309654182742748	10
20	32	1.23466950654984	2.61242890357971	0.316991806030273	1.00462865829468	1.10195180942736	4
21	33	0.330429871877034	0.585909843444824	0.249784708023071	0.28047502040863	0.127317149017735	6
22	34	1.50354778766632	7.89904999732971	0.256023168563843	0.3614901304245	2.65738305170254	8
23	35	0.702945649623871	2.80976009368896	0.259644269943237	0.436980605125427	0.859221669886266	8
24	36	0.443758765856425	0.574657678604126	0.32898473739624	0.432603001594543	0.0941937107190863	6
25	37	0.450640257667093	1.03180265426636	0.254019737243652	0.386121034622192	0.1968275196254	17
26	38	0.426641464233398	0.635907411575317	0.267492055892944	0.418925166130066	0.101301692996938	10
27	39	0.422116804122925	0.465902328491211	0.383436918258667	0.408897399902344	0.0333971928999727	5
28	40	0.46181325117747	0.84529709815979	0.307277917861938	0.402621746063232	0.192482043850598	6
29	41	0.418574701655995	0.571927785873413	0.272602319717407	0.418030977249146	0.08135255959455	11
30	43	0.422745168209076	0.635031223297119	0.306374788284302	0.405483841896057	0.0914488362238665	12
31	44	0.48576215335301	0.599245548248291	0.326771974563599	0.521743416786194	0.0924744660735619	14
32	45	0.400849103927612	0.664106369018555	0.291091203689575	0.368186950683594	0.114828868173852	9
33	46	0.469231491088867	0.949097394943237	0.316359519958496	0.458132982254028	0.130891233624628	25
34	47	0.50384791692098	0.626210689544678	0.338378667831421	0.516042828559875	0.0918014343457879	12
35	48	0.57088385687934	0.760482788085938	0.423271656036377	0.562566995620728	0.0927863099294489	9
36	49	0.637203296025594	0.928654193878174	0.422600746154785	0.63342010974884	0.152269779816814	12
37	50	0.572832970392136	0.77504825592041	0.404458999633789	0.580365180969238	0.0956953753508803	21
38	51	0.615020350406044	0.812747955322266	0.480195760726929	0.61937952041626	0.0719813970428501	19
39	52	0.65821839372317	1.52138471603394	0.465955972671509	0.632858037948608	0.197921977436668	24
40	53	0.633326035279494	1.06312155723572	0.446800947189331	0.590549945831299	0.147446512335237	26
41	54	0.73368501663208	1.92967295646667	0.347037792205811	0.623562812805176	0.430993269410995	23
42	55	0.686342965001645	1.89472532272339	0.348742008209229	0.643131256103516	0.324857480845545	23
43	56	0.682010921272072	1.64790463447571	0.352787256240845	0.620267391204834	0.246446027987559	37
44	57	0.643266979016756	1.04886603355408	0.397949457168579	0.592109680175781	0.186048229992725	19
45	58	0.654008252280099	0.908466339111328	0.43213939666748	0.66769552230835	0.0989588940780547	21
46	59	0.706583885046152	1.58925008773804	0.514856576919556	0.592494249343872	0.285399959982865	13
47	60	0.757207616170247	2.13003635406494	0.364068508148193	0.678712844848633	0.408579406677533	15
48	61	0.652105478140024	0.793509483337402	0.501892805099487	0.660346984863281	0.0829795983260514	13
49	62	0.748794970973845	1.11427783966064	0.580641031265259	0.721308469772339	0.151670896818282	31
50	63	0.758573621511459	1.17738437652588	0.510449886322021	0.741650104522705	0.182990657353436	16
51	64	0.701795144514604	0.834296226501465	0.596506834030151	0.664723873138428	0.0894099662273829	11
52	65	0.796949201160007	1.56648659706116	0.49030327796936	0.785228252410889	0.213102757792372	18
53	66	0.802471876144409	1.0571231842041	0.541887760162354	0.817153453826904	0.155295747906841	10
54	67	0.836589511235555	1.65169715881348	0.527892589569092	0.782573223114014	0.291064467292318	15
55	68	0.896849807103475	1.74468922615051	0.531616926193237	0.839399099349976	0.24084375587335	30
56	69	0.860514839490255	1.06190419197083	0.752413988113403	0.830499410629272	0.0882482153365912	18
57	70	0.946477115154266	1.2767870426178	0.510541677474976	0.949695944786072	0.202477535048907	20
58	71	0.904944233272387	1.67500615119934	0.605811595916748	0.895858526229858	0.202449679513364	23
59	72	1.0081288701012	2.58297157287598	0.522578716278076	0.92064905166626	0.458772224136438	21
60	73	0.945779429541694	1.12898659706116	0.838550090789795	0.909214973449707	0.0902204918682357	9
61	74	0.993979805394223	2.1466977596283	0.536094665527344	0.945449829101562	0.351907107001866	19
62	75	0.907018820444743	1.10520553588867	0.744950771331787	0.90613579750061	0.0967683388577658	15
63	76	1.08137037537315	1.55651760101318	0.762542486190796	0.973556280136108	0.266814059535187	11
64	77	0.978006765246391	1.63174843788147	0.551696300506592	0.965786337852478	0.234082506840426	16
65	78	1.12563699483871	2.23073840141296	0.73212456703186	1.10572743415833	0.306455117558244	32
66	79	1.09743340015411	1.69501614570618	0.65237832069397	0.981903791427612	0.338010608155401	10
67	80	1.29755083445845	2.68519902229309	0.587974071502686	1.27126836776733	0.387189787984305	29
68	81	1.03709235558143	1.35788607597351	0.680960655212402	0.996146678924561	0.233407943316157	13
69	82	1.12263926097325	2.20835399627686	0.479953527450562	0.934231519699097	0.458353204598978	35
70	83	1.14547673249856	1.85277462005615	0.651092767715454	1.08063888549805	0.249423185387289	39
71	84	1.16698039544595	2.47680997848511	0.710777759552002	1.03133153915405	0.410783608069972	37
72	85	1.03566027942457	2.01883363723755	0.619756937026978	0.895954132080078	0.372774775988538	19
73	86	1.16179303328196	1.60868048667908	0.734076499938965	1.11606884002686	0.32103734858363	12
74	87	1.15627109209696	2.14371228218079	0.597652196884155	1.08099865913391	0.443176657037798	15
75	88	1.43275543161341	2.80434632301331	0.778524875640869	1.39019572734833	0.37628073876707	74
76	89	1.34957531224126	2.10493874549866	0.853508234024048	1.27197909355164	0.408111459093872	23
77	90	1.34714257717133	2.64102268218994	0.732428073883057	1.14488196372986	0.51787341847213	32
78	91	1.08768853774438	1.45466423034668	0.808643579483032	0.976675987243652	0.193521309799741	13
79	92	1.54604596802683	6.00975131988525	0.812880277633667	1.1797091960907	0.994238588655212	33
80	93	1.10734621940121	1.64607954025269	0.717086553573608	1.1374979019165	0.218923103578816	31
81	94	1.23831056186131	2.74262833595276	0.72024941444397	0.991342306137085	0.48359173590229	35
82	95	1.1790985584259	2.08578515052795	0.743756294250488	1.06246328353882	0.381654184390971	15
83	96	1.24344307581584	3.06017708778381	0.70163631439209	1.00479888916016	0.569448400370531	30
84	97	1.00693132196154	1.43537020683289	0.856957912445068	0.934414625167847	0.170973441368808	14
85	98	1.22713579336802	2.80051350593567	0.692257881164551	1.02964985370636	0.454094972674753	30
86	99	1.05106337446915	1.9235258102417	0.782415628433228	0.98492431640625	0.241103973820625	19
87	100	1.28336314111948	3.172208070755	0.751702308654785	1.02556121349335	0.602063755166326	32
88	101	1.11511104447501	2.40041995048523	0.580048084259033	0.976619720458984	0.425744056965695	21
89	102	1.11147042115529	2.55610394477844	0.812497138977051	0.933962345123291	0.401292563936762	24
90	103	1.11381808519363	2.00726532936096	0.734173774719238	1.03398394584656	0.379807160639256	20
91	104	1.61520317467776	4.5378532409668	0.74094033241272	1.14469659328461	1.11030702377295	22
92	105	1.26253677816952	3.54334163665771	0.762779712677002	1.11399865150452	0.645720609327559	17
93	106	1.14863613843918	1.94525575637817	0.752142429351807	1.03248584270477	0.30322978093526	20
94	107	1.10858590979325	1.43805480003357	0.877348899841309	1.10765480995178	0.161492861275884	19
95	108	1.84988259185444	4.09829568862915	0.638691425323486	1.75249111652374	0.894003918736161	22
96	109	1.12412888353521	1.57741332054138	0.894633054733276	1.04008936882019	0.24727738110484	11
97	110	1.55678592409406	3.2131621837616	0.637409687042236	1.24333763122559	0.753038962669397	14
98	111	1.33565102683173	2.19323968887329	0.914101123809814	1.07947969436646	0.455192670851194	9
99	112	2.63680006208874	9.84368181228638	0.851328372955322	2.39405679702759	1.90692997154827	21
100	113	1.37382111549377	2.4536304473877	0.885134696960449	1.16794157028198	0.461055114354894	15
101	114	1.1050991671426	1.31518387794495	0.883205413818359	1.0933849811554	0.170516407938083	7
102	115	1.27901127934456	1.62764573097229	0.854477405548096	1.44217765331268	0.345822680508777	8
103	116	2.86607969374884	10.1138143539429	0.94416618347168	2.51834797859192	1.95292491507213	21
104	117	1.44646620750427	2.75458097457886	0.722724914550781	1.36550331115723	0.567243844875874	12
105	118	1.93719975153605	4.4920129776001	0.822904825210571	1.44359016418457	1.23768296205469	9
106	119	1.21632297833761	1.25370287895203	1.15045785903931	1.24480819702148	0.0572139781591506	3
107	120	2.70462896823883	4.44477438926697	0.95313835144043	2.50365972518921	1.39746397385631	10
108	121	1.25756392478943	1.89771437644958	0.815825223922729	1.11518311500549	0.450146447203473	5
109	122	1.93972015380859	2.99190378189087	1.18499898910522	1.9203382730484	0.741842697496878	6
110	123	1.68610374132792	2.72265791893005	1.01858520507812	1.57372069358826	0.618028119255437	6
111	124	2.07830706238747	2.99547290802002	1.02155828475952	2.16249489784241	0.669091037563454	8
112	125	1.1472438176473	1.19160127639771	1.07177639007568	1.17835378646851	0.065691502232509	3
113	126	2.33370312054952	3.11201930046082	1.04828190803528	2.74215793609619	0.847431973511789	9
114	127	1.36402344703674	1.63859295845032	0.97687292098999	1.42031395435333	0.29145398240849	4
115	128	3.08476429515415	7.13184309005737	0.89534068107605	2.68926620483398	1.77973637686167	9
116	129	1.53676283359528	2.12268304824829	0.935663938522339	1.54435217380524	0.659035545569487	4
117	130	2.34980881214142	2.49558520317078	2.16363883018494	2.37000560760498	0.138163411614106	4
118	131	2.13968014717102	2.13968014717102	2.13968014717102	2.13968014717102	NA	1
119	132	2.85013841498982	7.28120613098145	0.852234125137329	2.80956387519836	1.43597968391784	22
120	133	1.7188138961792	2.51689767837524	1.24941754341125	1.3901264667511	0.694732353377992	3
121	134	2.10173285007477	2.13304686546326	2.07041883468628	2.10173285007477	0.0442847052547606	2
122	135	1.61231029033661	2.08685684204102	1.1377637386322	1.61231029033661	0.671110169397757	2
123	136	2.37700936529371	5.62696242332458	0.889889478683472	2.15804719924927	1.43153301052286	9
124	137	2.25489934285482	2.81583452224731	1.45328164100647	2.49558186531067	0.712449048007095	3
125	138	1.83153585025242	4.12728786468506	0.810477018356323	1.63747310638428	0.857308102154977	14
126	139	1.37704539299011	1.37704539299011	1.37704539299011	1.37704539299011	NA	1
127	140	3.75716614723206	3.75716614723206	3.75716614723206	3.75716614723206	NA	1
128	141	1.06093502044678	1.37419271469116	0.747677326202393	1.06093502044678	0.443013279718133	2
129	142	2.83846416473389	5.40333890914917	1.61042356491089	2.45297646522522	1.49424947053549	5
130	143	2.27204871177673	3.60395503044128	1.44395685195923	2.02014148235321	1.00824620134802	4
131	144	3.6389556481288	7.02524399757385	1.14264869689941	3.33147430419922	1.65419246305214	13
132	145	1.33431696891785	1.33431696891785	1.33431696891785	1.33431696891785	NA	1
133	146	2.87300649056068	3.36133360862732	1.17201113700867	2.98046708106995	0.542394657663872	13
134	147	2.82047915458679	3.15897512435913	2.29488945007324	3.007572889328	0.461426117933397	3
135	148	2.91854156388177	7.1855776309967	1.56840538978577	2.51401340961456	1.36328812621769	18
136	149	2.2164192199707	2.2164192199707	2.2164192199707	2.2164192199707	NA	1
137	150	2.83422610034113	7.88273882865906	1.11894488334656	2.81010365486145	1.25081739673351	23
138	151	2.61184896363152	4.37068605422974	0.818492412567139	2.51767778396606	1.31301001148241	9
139	152	2.58392648696899	4.01685404777527	0.978325843811035	2.4600704908371	1.07080469865688	10
140	153	4.02655092875163	13.7570996284485	1.42297983169556	2.35820746421814	4.78994704551664	6
141	154	3.01348792805391	9.02597546577454	1.45563817024231	2.54209756851196	1.37504748943426	34
142	155	2.70164122581482	2.99240159988403	2.27744388580322	2.77717065811157	0.314479020759211	5
143	156	3.53681975603104	11.6192643642426	1.70717597007751	2.41981291770935	3.28414589628875	8
144	157	3.48648648262024	4.61339330673218	1.81231331825256	3.77692782878876	0.994913066030442	10
145	158	3.38382336071559	4.50278663635254	2.31383061408997	3.33466398715973	0.810086150541788	14
146	159	2.69109348456065	3.26382994651794	2.37109732627869	2.60138154029846	0.348302346910106	6
147	160	3.73303105520165	11.6415948867798	1.61228847503662	2.76804447174072	2.56289344037181	23
148	161	4.283495982488	7.33053851127625	2.35604643821716	4.16227948665619	1.9208535159238	6
149	162	4.11145227750142	10.7212879657745	2.22462964057922	3.2772490978241	2.29325593020351	15
150	163	3.56302738189697	4.90269207954407	2.30136299133301	3.20861029624939	1.02857150641023	5
151	164	3.64340223715856	8.00793099403381	2.21604537963867	3.02411603927612	1.61182086516231	26
152	165	5.15627139806747	9.80984115600586	1.22008752822876	4.24969732761383	3.09233179675347	8
153	166	3.64585782931401	5.46695327758789	2.34412264823914	3.66156101226807	1.12579717529611	13
154	167	2.88155138492584	4.25158262252808	2.20284152030945	2.73544931411743	0.728425356333412	6
155	168	4.34130437374115	8.84765672683716	2.17121863365173	3.13209044933319	2.30096619612152	20
156	169	4.88297360283988	12.6100163459778	1.49056768417358	2.50379490852356	4.25998942911107	7
157	170	4.29270637952364	11.4644372463226	1.58578610420227	3.35973918437958	2.5861484855815	26
158	171	3.49430890083313	4.52398824691772	2.79578161239624	3.5583074092865	0.674170892828769	5
159	172	2.97170114517212	4.90894103050232	2.30548596382141	2.71279895305634	0.979260757589512	6
